Enabled;Field No.;Field Name;Caption;Data Type;Length;Description;Field Class;Option String
Yes;120;Stockout Warning;Alerte rupture stock;Option;;;Normal;Default,No,Yes
Yes;121;Prevent Negative Inventory;Éviter stock négatif;Option;;;Normal;Default,No,Yes
Yes;200;Cost of Open Production Orders;Coût des O.F. ouverts;Decimal;;;FlowField;
Yes;521;Application Wksh. User ID;Code utilisateur de la feuille lettrage;Code;128;;Normal;
Yes;910;Assembly Policy;Stratégie d'assemblage;Option;;;Normal;Assemble-to-Stock,Assemble-to-Order
Yes;929;Res. Qty. on Assembly Order;Qté rés. sur ordre d'assemblage;Decimal;;;FlowField;
Yes;930;Res. Qty. on  Asm. Comp.;Qté rés. sur composant d'assemblage;Decimal;;;FlowField;
Yes;977;Qty. on Assembly Order;Qté sur ordre d'assemblage;Decimal;;;FlowField;
Yes;978;Qty. on Asm. Component;Qté sur composant d'assemblage;Decimal;;;FlowField;
Yes;1001;Qty. on Job Order;Qté sur ordre de travail;Decimal;;;FlowField;
Yes;1002;Res. Qty. on Job Order;Qté rés. sur ordre de travail;Decimal;;;FlowField;
Yes;1217;GTIN;GTIN;Code;14;;Normal;
Yes;1700;Default Deferral Template Code;Code modèle échelonnement par défaut;Code;10;;Normal;
Yes;5400;Low-Level Code;Code plus bas niveau;Integer;;;Normal;
Yes;5401;Lot Size;Taille lot;Decimal;;;Normal;
Yes;5402;Serial Nos.;N° de série;Code;20;;Normal;
Yes;5403;Last Unit Cost Calc. Date;Date dern. calcul coût unitaire;Date;;;Normal;
Yes;5404;Rolled-up Material Cost;Coût matière multi-niveau;Decimal;;;Normal;
Yes;5405;Rolled-up Capacity Cost;Coût opératoire multi-niveau;Decimal;;;Normal;
Yes;5407;Scrap %;% perte;Decimal;;;Normal;
Yes;5409;Inventory Value Zero;Exclure évaluation stock;Boolean;;;Normal;
Yes;5410;Discrete Order Quantity;Quantité commande discrète;Integer;;;Normal;
Yes;5411;Minimum Order Quantity;Qté minimum commande;Decimal;;;Normal;
Yes;5412;Maximum Order Quantity;Qté maximum commande;Decimal;;;Normal;
Yes;5413;Safety Stock Quantity;Stock de sécurité;Decimal;;;Normal;
Yes;5414;Order Multiple;Commandé par;Decimal;;;Normal;
Yes;5415;Safety Lead Time;Délai de sécurité;DateFormula;;;Normal;
Yes;5417;Flushing Method;Méthode consommation;Option;;;Normal;Manual,Forward,Backward,Pick + Forward,Pick + Backward
Yes;5419;Replenishment System;Système réappro.;Option;;;Normal;Purchase,Prod. Order,,Assembly
Yes;5420;Scheduled Receipt (Qty.);Réception planifiée (qté);Decimal;;;FlowField;
Yes;5421;Scheduled Need (Qty.);Besoin planifié (qté);Decimal;;;FlowField;
Yes;5422;Rounding Precision;Précision arrondi;Decimal;;;Normal;
Yes;5423;Bin Filter;Filtre emplacement;Code;20;;FlowFilter;
Yes;5424;Variant Filter;Filtre variante;Code;10;;FlowFilter;
Yes;5425;Sales Unit of Measure;Unité de vente;Code;10;;Normal;
Yes;5426;Purch. Unit of Measure;Unité d'achat;Code;10;;Normal;
Yes;5428;Time Bucket;Intervalle de planification;DateFormula;;;Normal;
Yes;5429;Reserved Qty. on Prod. Order;Qté réservée sur O.F.;Decimal;;;FlowField;
Yes;5430;Res. Qty. on Prod. Order Comp.;Qté rés. sur comp. O.F.;Decimal;;;FlowField;
Yes;5431;Res. Qty. on Req. Line;Qté rés. sur dem. achat;Decimal;;;FlowField;
Yes;5440;Reordering Policy;Méthode réapprovisionnement;Option;;;Normal; ,Fixed Reorder Qty.,Maximum Qty.,Order,Lot-for-Lot
Yes;5441;Include Inventory;Inclure stock;Boolean;;;Normal;
Yes;5442;Manufacturing Policy;Mode de lancement;Option;;;Normal;Make-to-Stock,Make-to-Order
Yes;5443;Rescheduling Period;Période de replanification;DateFormula;;;Normal;
Yes;5444;Lot Accumulation Period;Période de groupement de lots;DateFormula;;;Normal;
Yes;5445;Dampener Period;Période tampon;DateFormula;;;Normal;
Yes;5446;Dampener Quantity;Quantité tampon;Decimal;;;Normal;
